id,Name,Type,Date (UTC),Description,Statement Descriptor,Unit Label,Url,Tax Code,project_keyword (metadata),job_id (metadata),invoice_number (metadata),payment_number (metadata),client_last_name (metadata)
prod_Te9aDB3BgNCOPu,Test Website Development,service,2025-12-21 18:22,Test project for payment system,,,,,test-single,uid-test-001,,,TestClient
prod_Te9aYNoxpQrpKQ,Test Website Development,service,2025-12-21 18:22,Test project for payment system,,,,,test-single,uid-test-001,,,TestClient
prod_Te9XcuXwtncRqo,Test Website Development,service,2025-12-21 18:19,Test project for payment system,,,,,test-single,uid-test-001,,,TestClient
prod_Te9WzmatF7MaGw,Test Website Development,service,2025-12-21 18:18,Test project for payment system,,,,,test-single,uid-test-001,,,TestClient
prod_TdikCjTfMclZWR,uid-test-007-3,service,2025-12-20 14:38,"Final payment (37.5% of total) - Due before project launch and includes final revisions, quality assurance testing, deployment, and handoff documentation. This final payment ensures all project deliverables are complete and approved.",,,,,long-description,uid-test-007,uid-test-007,3,Longdesc
prod_TdikW8uAFIRFPe,uid-test-007-2,service,2025-12-20 14:38,"Mid-project milestone payment (37.5% of total) - This payment is due upon completion of Phase 1 deliverables including initial design concepts, wireframes, and client feedback incorporation. This milestone represents significant progress in the project.",,,,,long-description,uid-test-007,uid-test-007,2,Longdesc
prod_Tdik1ufhfnEBzA,uid-test-007-1,service,2025-12-20 14:38,"Deposit payment (25% of total project fee) - This is a very long description to test how the system handles extended payment descriptions that might include additional context, terms, conditions, or special instructions for the client regarding this particular payment milestone in the project timeline.",,,,,long-description,uid-test-007,uid-test-007,1,Longdesc
prod_TdikB93lB8Zqxn,uid-test-002-3,service,2025-12-20 14:38,Final payment (34%),,,,,multi-payment-test,uid-test-002,uid-test-002,3,Multi
prod_TdikCyytK3rG09,uid-test-002-2,service,2025-12-20 14:38,Mid-project payment (33%),,,,,multi-payment-test,uid-test-002,uid-test-002,2,Multi
prod_TdikMezcNm2KL6,uid-test-002-1,service,2025-12-20 14:38,Deposit (33%),,,,,multi-payment-test,uid-test-002,uid-test-002,1,Multi
prod_Tdik8kfNaXwJIT,uid-test-006-2,service,2025-12-20 14:38,Final payment (60%) - O'Brien & Associates,,,,,special-chars-test,uid-test-006,uid-test-006,2,O'Brien
prod_TdikFXZV5zka51,uid-test-006-1,service,2025-12-20 14:38,Deposit (40%) - Special characters: O'Brien & Associates,,,,,special-chars-test,uid-test-006,uid-test-006,1,O'Brien
prod_TdiNYn8YV4SQsC,uid-test-001-1,service,2025-12-20 14:15,Full payment upfront,,,,,single-payment-test,uid-test-001,uid-test-001,1,Single
